gx,gy,gz,ax,ay,az,time,gesture_type,timestamp
0.014375257,-0.012704303,-0.049666282,-0.024306389,0.106495865,1.022980452,28:17.5,no-gesture-ll,138.6
0.038334019,-0.030853307,0.025634211,-0.027975272,0.098880768,1.025048733,28:17.5,no-gesture-ll,138.65
0.011180756,0.012704303,0.022429934,-0.022930557,0.108803466,1.007353783,28:17.6,no-gesture-ll,138.7
0.023958761,-0.009074502,-0.020827796,-0.020866811,0.110649548,1.022750616,28:17.6,no-gesture-ll,138.75
0.039931271,0.016334103,0.025634211,-0.026140831,0.105803579,1.013788223,28:17.7,no-gesture-ll,138.8
-0.001597251,0.014519203,0.016021382,-0.027287357,0.107880428,1.011949778,28:17.7,no-gesture-ll,138.85
0.007986254,-0.010889403,0.051268421,-0.017427232,0.104419023,1.010800838,28:17.8,no-gesture-ll,138.9
0.049514774,-0.010889403,0.004806414,-0.015822096,0.112264872,1.005745053,28:17.8,no-gesture-ll,138.95
-0.001597251,0.021778805,0.006408553,-0.015592791,0.106495865,1.013558388,28:17.9,no-gesture-ll,139
0.028750515,-0.003629801,0.004806414,-0.01949098,0.111111075,1.010111332,28:17.9,no-gesture-ll,139.05
0.028750515,-0.003629801,0.004806414,-0.01949098,0.111111075,1.010111332,28:18.0,no-gesture-ll,139.1
0.004791752,0.010889403,-0.004806414,-0.020637505,0.108341947,1.008272886,28:18.0,no-gesture-ll,139.15
-0.014375257,0,0.016021382,-0.021325421,0.114110954,1.002068162,28:18.1,no-gesture-ll,139.2
-0.038334019,0.257715851,-0.121762499,0.000458574,0.165339753,1.034470797,28:18.1,no-gesture-ll,139.25
0.194864601,0.352090687,0.386115283,-0.061224528,0.050421096,0.986671209,28:18.2,no-gesture-ll,139.3
-0.038334019,0.402907908,0.150600985,-0.050905794,0.155647814,1.022980452,28:18.2,no-gesture-ll,139.35
-0.038334019,0.402907908,0.150600985,-0.050905794,0.155647814,1.022980452,28:18.3,no-gesture-ll,139.4
0,0,0,0,0,0,28:18.8,no-gesture-ll,139.45
0,0,0,0,0,0,28:18.8,no-gesture-ll,139.5
0,0,0,0,0,0,28:18.8,no-gesture-ll,139.55
0,0,0,0,0,0,28:18.8,no-gesture-ll,139.6
0,0,0,0,0,0,28:18.8,no-gesture-ll,139.65
0,0,0,0,0,0,28:18.8,no-gesture-ll,139.7
0,0,0,0,0,0,28:18.8,no-gesture-ll,139.75
0,0,0,0,0,0,28:18.8,no-gesture-ll,139.8
0,0,0,0,0,0,28:18.8,no-gesture-ll,139.85
0,0,0,0,0,0,28:18.8,no-gesture-ll,139.9
0,0,0,0,0,0,28:18.8,no-gesture-ll,139.95
0,0,0,0,0,0,28:18.8,no-gesture-ll,140
0,0,0,0,0,0,28:18.8,no-gesture-ll,140.05
0.825778663,-0.758628368,0.828305423,-0.196055993,0.962616801,1.083649278,34:24.7,tv-poke-00,140.1
0.825778663,-0.758628368,0.828305423,-0.196055993,0.962616801,1.083649278,34:24.7,tv-poke-00,140.15
0.987101018,-0.689662158,0.761015654,-0.184590727,1.010384202,1.027576685,34:24.8,tv-poke-00,140.2
0.372159451,-0.847558498,0.50947994,-0.038064703,0.417330056,0.855452061,34:24.8,tv-poke-00,140.25
0.388131946,-1.070791245,0.498264968,0.004815373,0.295257837,0.802137136,34:24.9,tv-poke-00,140.3
-0.475980729,-0.431946307,0.064085528,0.055950433,-0.503634512,0.984143317,34:24.9,tv-poke-00,140.35
-0.801819921,-0.154266536,-0.17943947,0.133455589,-0.809853494,1.000919104,34:25.0,tv-poke-00,140.4
-0.801819921,-0.154266536,-0.17943947,0.133455589,-0.809853494,1.000919104,34:25.0,tv-poke-00,140.45
0.126182809,-0.313977778,0.466222197,0.031414777,-0.823929906,1.165919662,34:25.1,tv-poke-00,140.5
0.258754641,-0.010889403,0.812284052,0.246273756,-0.527402818,1.005974889,34:25.1,tv-poke-00,140.55
0.538273513,0.235937059,0.394125998,0.12864019,-0.374639481,0.938871562,34:25.2,tv-poke-00,140.6
-0.051112026,0.831224382,-0.161815956,0.01352897,0.142032951,0.902562261,34:25.2,tv-poke-00,140.65
-0.118196562,0.742294252,-0.248331413,-0.021554727,0.203876734,0.863035679,34:25.3,tv-poke-00,140.7
-0.742721617,0.798556209,-0.991723537,-0.102728769,0.953155637,0.759852827,34:25.3,tv-poke-00,140.75
-0.742721617,0.798556209,-0.991723537,-0.102728769,0.953155637,0.759852827,34:25.4,tv-poke-00,140.8
-0.570218563,0.395648301,-0.813886166,-0.307956934,1.012691736,1.063426375,34:25.4,tv-poke-00,140.85
0.132571816,-0.056261912,0.182643756,-0.14033483,0.329641134,1.047110081,34:25.5,tv-poke-00,140.9
0.100626804,-0.105264224,0.237116441,-0.123595543,0.016960844,1.059749484,34:25.5,tv-poke-00,140.95
0.011180756,0.009074502,0.595995367,-0.12084388,-0.01373028,0.984832704,34:25.6,tv-poke-00,141
0,0,0,0,0,0,34:26.5,tv-poke-00,141.05
0,0,0,0,0,0,34:26.5,tv-poke-00,141.1
0,0,0,0,0,0,34:26.5,tv-poke-00,141.15
0,0,0,0,0,0,34:26.5,tv-poke-00,141.2
0,0,0,0,0,0,34:26.5,tv-poke-00,141.25
0,0,0,0,0,0,34:26.5,tv-poke-00,141.3
0,0,0,0,0,0,34:26.5,tv-poke-00,141.35
0,0,0,0,0,0,34:26.5,tv-poke-00,141.4
0,0,0,0,0,0,34:26.5,tv-poke-00,141.45
0,0,0,0,0,0,34:26.5,tv-poke-00,141.5
0,0,0,0,0,0,34:26.5,tv-poke-00,141.55
0,0,0,0,0,0,34:26.5,tv-poke-00,141.6
0,0,0,0,0,0,34:26.5,tv-poke-00,141.65
0,0,0,0,0,0,34:26.5,tv-poke-00,141.7
0,0,0,0,0,0,34:26.5,tv-poke-00,141.75
0,0,0,0,0,0,34:26.5,tv-poke-00,141.8
0,0,0,0,0,0,34:26.5,tv-poke-00,141.85
